Date,AAPL,Bitcoin,GOOGL,MSFT,VNINDEX,Average Total,Average (Bitcoin Excluded),,,
12/2/2020,0.0029,0.0239,0.0165,-0.0039,0.0054,0.00896,0.005225,,,
12/1/2020,0.0308,-0.0471,0.0233,0.01,0.0058,0.00456,0.017475,,,
11/30/2020,0.0211,0.0832,-0.0183,-0.0054,-0.0071,0.0147,-0.002425,,,
11/27/2020,0.0048,-0.002,0.013,0.0064,0.0042,0.00528,0.0071,,,
11/25/2020,0.0075,-0.0224,0.0001,0,0.0042,-0.00212,0.00295,,,
11/24/2020,0.0116,0.0421,0.021,0.0178,0.0016,0.01882,0.013,,,
11/23/2020,-0.0297,-0.0018,-0.0051,-0.0013,0.0042,-0.00674,-0.007975,,,
11/20/2020,-0.011,0.049,-0.0126,-0.0096,0.0069,0.00454,-0.006575,,,
11/19/2020,0.0052,0.0016,0.0103,0.0063,0.01,0.00668,0.00795,,,
11/18/2020,-0.0114,0.0064,-0.0119,-0.0158,0.0048,-0.00558,-0.008575,,,
11/17/2020,-0.0076,0.0566,-0.007,-0.0128,0.019,0.00964,-0.0021,,,
11/16/2020,0.0087,0.0478,0.001,0.0033,-0.016,0.00896,-0.00075,,,
11/13/2020,0.0004,0.0018,0.0169,0.005,0.0073,0.00628,0.0074,,,
11/12/2020,-0.0023,0.0382,-0.0025,-0.0051,0.0074,0.00714,-0.000625,,,
11/11/2020,0.0304,0.0256,0.0055,0.0263,0.0003,0.01762,0.015625,,,
11/10/2020,-0.003,-0.0015,-0.0135,-0.0338,-0.0001,-0.01038,-0.0126,,,
11/9/2020,-0.02,-0.0101,0.001,-0.0238,0.0146,-0.00766,-0.00705,,,
11/6/2020,-0.0029,-0.0006,-0.0016,0.0019,0.0006,-0.00052,-0.0005,,,
11/5/2020,0.0355,0.1019,0.0095,0.0319,-0.0021,0.03534,0.0187,,,
11/4/2020,0.0408,0.009,0.0609,0.0482,0.0047,0.03272,0.03865,,,
11/3/2020,0.0154,0.0338,0.0131,0.0203,0.0019,0.0169,0.012675,,,
11/2/2020,-0.0008,-0.0144,0.0051,-0.0007,0.0089,-0.00038,0.003125,,,
10/30/2020,-0.056,0.0076,0.038,-0.011,0.007,-0.00288,-0.0055,,,
10/29/2020,0.0371,0.0134,0.0305,0.0101,-0.0021,0.0178,0.0189,,,
